序號,學科術語,參考解釋,第1階段,第2階段,第3階段,第4階段,第5階段,臺灣台語詞彙,臺羅
102526,繁殖,繁衍生殖。,,,自然科學-自然科學,,自然科學-生物,生湠 湠種,senn-thuànn thuànn-tsíng
102527,聯合國,第二次世界大戰後，由中、美、英、蘇等國於西元1954年所發起的國際組織。總部設在紐約。主要機構有聯合國大會、安全理事會、經濟和社會理事會、祕書處等。宗旨在維持世界和平與安全，並促進國際間的友好合作。,,,社會-社會,社會-地理 社會-歷史 健康與體育-健康教育,社會-地理 社會-歷史 社會-公民與社會,聯合國,Liân-ha̍p-kok
102528,聯合國兒童基金會,聯合國兒童基金會是聯合國一個專門機構，於1946年12月11日在聯合國大會上成立，總部設於美國紐約，對開發中國家的母親和孩子進行長期的人道主義和發展援助。作為一個志願性的基金機構，聯合國兒童基金會依靠政府和私人的捐助。他的項目著重於提高社區服務水平，以提高兒童的健康。,,,社會-社會,,,聯合國兒童基金會,Liân-ha̍p-kok Jî-tông Ki-kim-huē
102529,聯合國教科文組織,聯合國附屬機構之一，英文簡稱為UNESCO。西元1946年成立，總部在巴黎。目的在於教育、科學與文化方面促成國際合作，以增進對正義法律與人權和聯合國憲章保障的基本自由。下設教育、自然科學、社會科學、文化與傳播資訊等五大領域。該組織贊助支持的項目包括文字和科技教師的訓練、國際科學課程、媒介自主與新聞自由、文化多樣性、世界文學翻譯、世界自然文化遺產之確保、數位落差的減少等。簡稱為「聯合國教科文組織」。,,,社會-社會,,社會-歷史 社會-公民與社會,聯合國教科文組織,Liân-ha̍p-kok Kàu-kho-bûn Tsoo-tsit
102530,聯想,由於某人、事或物而想起其他相關的人、事或物。亦指由某個概念而引發其他相關概念的現象。,,語文-國語文,語文-國語文,語文-國語文,語文-國語文,聯想,liân-sióng
102531,聲音三要素,聲音由音調、響度及音色三個要素組成。,,,自然科學-自然科學,自然科學-理化,,聲音三要素,siann-im sann-iàu-sòo
102532,聲帶,1.動物喉頭中間附列的兩條韌帶。繃於喉頭軟骨的兩旁，中留三角形的聲門， 2.錄有聲跡的膠片或磁帶。有光學聲帶及磁性聲帶。呼氣時，氣過聲門，激韌帶顫動而發聲。,,,藝術-藝術,,藝術-音樂,聲帶,siann-tuà
102533,聲符,形聲字的結構中表示讀音的部分，稱為「聲符」。,語文-國語文,,語文-國語文,語文-國語文,,聲符,siann-hû
102534,聲部,1.在音樂演奏和歌唱中，根據聲音的高低不同，分成若干部分，稱為聲部。 2.音樂上指凡結合兩行以上的旋律，或兩個以上的音同時進行，其中每一行旋律即為一個聲部。如混聲四部合唱分女高音、女低音、男高音、男低音四個。,,,藝術-藝術,藝術-音樂,藝術-音樂,聲部,siann-pōo
102535,聲調,1.聲音高低升降的調子。如國音所分的陰平聲、陽平聲、上聲、去聲、輕聲等讀法，或音樂中音階的高低。 2.詩文字句中音韻配置的抑揚頓挫。,語文-國語文,語文-國語文,語文-國語文,語文-國語文 藝術-音樂,,聲調,siann-tiāu
102536,聲響,聲音。,,藝術-藝術,,,藝術-音樂,聲音,siann-im
102537,臀鰭,魚類肛門後，腹中線的鰭。,,自然科學-自然科學,,,,臀鰭 尾鰭,tûn-kî bué-kî
102538,臨時動議,開會時，不屬預定的議事程序中，所提出的建議。,,社會-社會,,社會-公民與社會,,臨時動議,lîm-sî tōng-gī
102539,賽跑,一種比賽跑步速度的運動。包括短距離、中距離、長距離、超長距離、跨欄、接力、障礙和越野賽跑。,社會-生活課程 自然科學-生活課程 藝術-生活課程 綜合活動-生活課程,綜合活動-綜合活動 健康與體育-健康與體育,健康與體育-健康與體育,,,走相逐 走相掠 走標,tsáu-sio-jiok tsáu-sio-lia̍h tsáu-pio
102540,隱私,隱密而不使人知道的私事。,健康與體育-健康與體育,社會-社會,社會-社會,社會-公民與社會 健康與體育-健康教育,,隱私,ún-su
102541,隸書,漢字的一種字體。由篆書演化而成。創始於秦，通行於漢、魏。,,,語文-國語文,語文-國語文,,隸書,lē-su
102542,霜,接近地面的水蒸氣，遇冷而凝結成白色的結晶顆粒。,,自然科學-自然科學,自然科學-自然科學,自然科學-地球科學,自然科學-地球科學,霜,sng song
102543,點,1.計時的單位。一個小時稱為「一點」。 2.幾何學上稱沒有長、寬、厚、薄，而只有位置的為「點」。 3.小數點。如33.5讀作三十三點五。,數學-數學,,,數學-數學,數學-數學,點,tiám
102544,點燃,引火使其燃燒。,,自然科學-自然科學,,自然科學-理化,,點著,tiám-to̍h
102545,點鐘,量詞。計算時間的單位。1點鐘為1小時。,數學-數學,,,,,點鐘,tiám-tsing
102546,叢生,樹木聚集在一處生長。,,自然科學-自然科學,,自然科學-生物,,密密生,ba̍t-ba̍t-senn
102547,擴分,一個分數的分子與分母，同時乘上不是零的數，使分子與分母增大，而比值不變。,數學-數學,,數學-數學,數學-數學,數學-數學,擴分,khok-hun
102548,擴寫,指不改變句子的意思，而增加時間、地點、人物、形容景物或描寫動作的語詞，使句子變長，讓表達的意思更具體、更清楚的敘寫方式。,,語文-國語文,語文-國語文,,,擴寫,khok-siá
102549,擺長,單擺擺動的圓弧圓心到擺錘的距離。 ,,自然科學-自然科學,,自然科學-理化,自然科學-地球科學,擺長,pái-tn̂g
102550,擺動,搖擺移動。,,自然科學-自然科學,,自然科學-理化,,擺動 幌振動,pái-tōng hàinn-tín-tāng
102551,擺錘,懸掛於擺線末端的重物。,,自然科學-自然科學,,自然科學-理化,,鐘擺 hi̍t-á,tsing-pái hi̍t-á
102552,擺鐘,單擺的擺繩下懸掛的重物。,,自然科學-自然科學,,自然科學-理化,,搖擺鐘仔,iô-pái tsing-á
102553,斷音,在音符符頭的上方或下方加上一個小圓點，稱為「斷音」，表示演唱或演奏原來音符時值一半的長度。,,藝術-藝術,,,,閬音,làng-im
102554,斷路,電路中斷，以致不能通電。,,自然科學-自然科學,,自然科學-理化,,斷路 相拍電 短路,tn̄g-lōo sio-phah-tiān té-lōo
102555,斷層海岸,高山與深海平形相鄰。 臺灣東部的海岸地形是斷層海岸，海岸陡峭，沿海平原狹窄，港口較少，船隻不易停靠。主要河流出口有三角洲平原及特殊景觀清水斷崖。,,,社會-社會,社會-地理,,斷層海岸,tuān-tsân hái-huānn tuān-tsân hái-gān
102556,瀏覽,大略看看。,,,語文-國語文,,,瀏覽 影,liû-lám iánn
102557,獵戶座,星座名。跨越天球赤道，位於金牛座東南。為冬季夜空中容易辨認的星座。相當於中國的觜宿和參宿。包含亮星參宿四和參宿七。,,,自然科學-自然科學,自然科學-地球科學,自然科學-地球科學,獵戶座,La̍h-hōo-tsō
102558,禮俗,禮儀與習俗。,,,社會-社會 健康與體育-健康與體育,,,禮俗 人情世事,lé-sio̍k jîn-tsîng-sè-sū
102559,簡化計算,在一個算式中，從數個簡化的結果中找出規律的計算方法。,,,數學-數學,,數學-數學,簡化計算,kán-huà kè-sǹg
102560,簡化問題,1.將題目中的因子單純化，例如把題目中的數值改小。 2.將題目中的一個因子固定起來，再變更其他因子（如把數值改小）的方法。,,,數學-數學,,,簡化問題,kán-huà būn-tê
102561,簡單機械,能夠改變力的最基本機械設備，是複雜機械的基礎。可分為槓桿類和斜面類；槓桿類包括槓桿、滑輪、齒輪、輪軸等；斜面類包括斜面、螺旋和楔等。,,自然科學-自然科學,自然科學-自然科學,自然科學-理化,,簡單機械,kán-tan ki-hāi kán-tan ki-kài
102562,織女星,星名。屬天琴座，是夏秋夜空中一顆明亮的星，隔銀河與牽牛星相對。也稱為「天女」、「天孫」、「織女」。,,,自然科學-自然科學,自然科學-地球科學,自然科學-地球科學,織女星,Tsit-lí-tshenn
102563,繞口令,一種語言遊戲。將漢語中聲母、韻母、聲調容易混同的文字交錯編成句子，使人唸起來有些拗口，說快了則容易發生錯誤。,,語文-國語文,,,,盤喙錦,puânn-tshuì-gím puânn-tshuì-kím
102564,臍帶,連接胎兒與胎盤的帶狀構造，內含臍動脈與臍靜脈，胎兒經此由母體吸取養分並排出代謝物。,,,自然科學-自然科學,自然科學-生物,,臍帶,tsâi-tuà
102565,舊石器時代,考古學上指人類文化最早的一個階段。大約始於兩百萬年前，持續至一萬兩千年前，共占人類歷史的百分之九十九以上。以狩獵、捕魚和採集方式維生，而以使用打製石器為其特徵。因工具技術的不同，分為早、中、晚三期。至舊石器時代的後期，人類演化已至智人階段，精神生活愈見豐富。,,,社會-社會,社會-歷史,,舊石器時代,Kū-tsio̍h-khì Sî-tāi
102566,舊石器時期,考古學上指人類文化最早的一個階段。大約始於兩百萬年前，持續至一萬兩千年前，共占人類歷史的百分之九十九以上。以狩獵、捕魚和採集方式維生，而以使用打製石器為其特徵。因工具技術的不同，分為早、中、晚三期。至舊石器時代的後期，人類演化已至智人階段，精神生活愈見豐富。,,,社會-社會,,,舊石器時期,Kū-tsio̍h-khì Sî-kî
102567,藍地黃虎旗,臺灣民主國國旗，為1895年5月23日至10月期間於臺灣建立的臺灣民主國所使用的國旗，因其樣式為藍地黃虎，又稱「藍地黃虎旗」，同日，唐景崧發表「臺灣民主國獨立宣言」。過去一直被認為只有單面，國立臺灣博物館經過一年半的考證修復，2012年確定黃虎旗原來是雙面。正反兩面的老虎眼睛分別為白晝、闇暝與太極陰陽，象徵「日夜護國」。,,,社會-社會,社會-歷史,,藍地黃虎旗,nâ-tē n̂g-hóo-kî
102568,藍色公路,指利用船舶載客航行於水上，功能包括代替陸地上的交通運輸，也包含海上觀光遊覽的特性。,,,社會-社會,,,藍色公路,nâ-sik kong-lōo
102569,藍色石蕊試紙,藍色石蕊試紙是將濾紙浸入於石蕊的鹼性溶液中，經過晾乾後成為藍色。藍色石蕊試紙遇到酸性物質，會轉變為紅色。,,自然科學-自然科學,自然科學-自然科學,,,藍色石蕊試紙,nâ-sik tsio̍h-luí-tshì-tsuá
102570,藏書票,貼在自己所藏書籍扉頁前的標籤。往往是選擇一種特殊的圖誌以示所有。,,,藝術-藝術,藝術-視覺藝術,,藏書票,tsông-su-phiò
102571,豐水期,一區域在一年中降雨量特別豐富的時期。此時水庫蓄水量充裕，河川流量大，土壤含水量高，一切用水不虞匱乏。,,,社會-社會,社會-地理,,厚水期,kāu-tsuí-kî
102572,豐年祭,為臺灣原住民族收穫粟後舉行之祭典，有慶祝或祈求豐穫之義，有伴以歌舞，亦有純行儀式者。粟成熟收穫後舉行，亦稱收穫祭；最富盛名的是每年七、八月間花蓮、臺東地區阿美族部落的豐年祭。,,社會-社會 藝術-藝術,社會-社會,,社會-歷史,豐年祭,hong-nî-tsè hong-liân-tsè
102573,贅詞,過多不必要的話，或是重複同樣意思的詞語。,,語文-國語文,語文-國語文,,,話屎 加話,uē-sái ke-uē
102574,軀幹,1.人體由頸部至臀部的部分。 2.泛指身體。,,自然科學-自然科學,,自然科學-生物,,身軀身,sin-khu-sin
102575,轉化,描述一件事物時，轉變它原來的性質，化成另一種與本質截然不同之事物的修辭法。作用在於增加「人生情趣」。,,,語文-國語文,語文-國語文,,轉化,tsuán-huà
102576,轉告,輾轉傳達。,,語文-國語文,,,,寄話 ,kià-uē
102577,轉折句,由兩有轉折關係的分句組成，前後分句的意思相反或相對的句子。,,語文-國語文,語文-國語文,,,轉折句,tsuán-tsiat-kù
102578,轉注,六書之一。由一形衍化，音近義同，可以輾轉相注。,,,語文-國語文,,,轉注,tsuán-tsù
102579,醫療資源,醫療資源是指提供醫療服務的生產要素的總稱，通常包括人員、醫療費用、醫療機構、醫療床位、醫療設施和裝備、知識技能和信息等。,健康與體育-健康與體育,,健康與體育-健康與體育,社會-公民與社會,社會-公民與社會,醫療資源,i-liâu tsu-guân
102580,鎮公所,縣以下的地方自治單位。設鎮長一人，綜理鄉（鎮市區）政。分設民政、財政、建設、戶籍、兵役等課，分掌各有關事項。,,社會-社會,社會-社會,,社會-公民與社會,鎮公所,tìn-kong-sóo
102581,鎳氫電池,是由鎳鎘電池改良而來的，其以能吸收氫的金屬代替鎘。它以相同的價格提供比鎳鎘電池更高的電容量、較不明顯的記憶效應、以及較低的環境污染（不含有毒的鎘）。其回收再用的效率比鋰離子電池好，被稱為是最環保的電池。,,自然科學-自然科學,,自然科學-理化,自然科學-化學,鎳氫電池,gia̍t-khing tiān-tî
102582,雙氧水,過氧化氫的水溶液。無色，味微酸。醫藥上用來做為傷口消毒劑，化學上可用做氧化或還原劑。,,自然科學-自然科學,自然科學-自然科學,自然科學-理化,自然科學-化學,滾藥水,kún-io̍h-tsuí
102583,雜食動物,不論是動、植物，都可作為食物的動物。,,自然科學-自然科學,,,,雜食動物,tsa̍p-si̍t tōng-bu̍t
102584,雞籠,基隆市舊名。,,,社會-社會,社會-歷史,社會-歷史,雞籠,Ke-lâng
102585,離島,不與附近大陸塊相連的島嶼。,,社會-社會,社會-社會,社會-地理,社會-歷史,離島,lî-tó lī-tó
102586,題目,1.文章或詩篇的標名。 2.考試時要求應試人作答的問題。,,語文-國語文,,語文-國語文,語文-國語文,題目,tê-bo̍k tê-ba̍k
102587,顏料,繪畫、油漆時用來著色的材料。,,藝術-藝術,藝術-藝術,藝術-視覺藝術,藝術-美術,色料,sik-liāu
102588,鵝鑾鼻,地名。位於臺灣最南端，屬屏東縣，瀕巴士海峽。地勢東高西低，沿岸滿布珊瑚礁。南部高約94公尺的孤立山峰上，有巨型燈塔，初建於清德宗光緒八年（西元1882年），後因戰爭被毀，重建後成為高18公尺的白色圓柱形燈塔，燈光每10秒鐘閃爍一次，強度可達20海里，有「東亞之光」的美稱。其西側礁石林立，已闢建為公園，具有峽谷、洞穴、奇岩等自然景觀，為著名的觀光勝地。,,,社會-社會,社會-地理,,鵝鑾鼻,Gô-luân-phīnn
102589,壞菌,條件性有害菌，在一定條件下對人體有害，稱之為壞菌。,,,自然科學-自然科學,,,歹菌,pháinn-khún
102590,繪本,具故事情節、以圖畫為主體的書籍。,,,,語文-國語文,,繪本 畫本,huē-pún uē-pún
102591,羅馬字母拼音,「羅馬字母拼音」的定義是指用全世界通用的26個羅馬字母來拼寫任何一種語言，拼寫德文時叫做「德文字母」，拼寫日語時叫做「日語字母」，拼寫英文時才叫做「英文字母」。,,,,社會-歷史,,羅馬字,Lô-má-jī
102592,藝文活動,與藝術和文學有關的活動。,,社會-社會,,,,藝文活動,gē-bûn ua̍h-tāng gē-bûn ua̍h-tōng
102593,藝術,1.人所創作，以形象、聲音等表達概念，具有審美價值的事物。如詩詞歌賦、戲劇、音樂、繪畫、雕塑、建築等。 2.比喻富有技巧或創造性的方法或模式。,,藝術-藝術,,,,藝術,gē-su̍t
102594,藝術家,從事藝術工作而有相當成就的人。,,藝術-藝術,,藝術-視覺藝術 藝術-表演藝術,,藝術家,gē-su̍t-ka
102595,藝術創作,指藝術家以一定的世界觀為指導，運用一定的創作方法，通過對現實生活觀察、體驗、研究、分析、選擇、加工、提煉生活素材，塑造藝術形象，創作藝術作品的創造性勞動。,,藝術-藝術,,,,藝術創作,gē-su̍t tshòng-tsok
102596,識字,認識字。,語文-國語文,語文-國語文,,,,捌字,bat-jī pat-jī
102597,蹼,水鳥或爬蟲類趾間的薄膜。,,自然科學-自然科學,,自然科學-生物,,跤扒,kha-pê
102598,辭典,一種工具書。依據詞彙體系及一定的編輯體例蒐集詞、詞組、短語等資料，並加以解釋，以備查索、參考的工具書。可分普通及專業兩種。也作「詞典」。,語文-國語文,語文-國語文,語文-國語文,語文-國語文,,辭典,sû-tián
102599,邊,幾何學中夾成角或構成多角形的線段。,數學-數學,,,數學-數學,數學-數學,邊,pinn
102600,邊長,幾何圖形兩個相鄰頂點之間線段的長度。,數學-數學,數學-數學,,數學-數學,數學-數學,邊長,pinn-tn̂g
102601,鏡座,顯微鏡之最底部，固定並支撐顯微鏡。,,,自然科學-自然科學,自然科學-生物,,鏡座,kiànn-tsō
102602,鏡臂,支撐鏡筒及調節輪。也是拿取顯微鏡時手握住的地方。,,,自然科學-自然科學,自然科學-生物,,鏡臂,kiànn-pì
102603,關係圖,在數學上，二元關係用於討論兩種物件之間的聯繫，其所繪製而成的圖表稱為「關係圖」。,,,數學-數學,,,關係圖,kuan-hē-tôo
102604,關稅,為保護本國產業，凡貨物經過國境時，所課徵的租稅。,,,社會-社會,社會-地理 社會-歷史,社會-歷史,關稅,kuan-suè
102605,關節,身體中骨與骨相銜合而可轉動的部分。,健康與體育-健康與體育,健康與體育-健康與體育 自然科學-自然科學,綜合活動-綜合活動 健康與體育-健康與體育 自然科學-自然科學,健康與體育-健康教育 自然科學-生物,自然科學-生物,關節,kuan-tsat
102606,關鍵句,閱讀時採摘錄式紀錄段落重點的句子。,,語文-國語文,,語文-國語文,,關鍵句,kuan-kiān-kù
102607,關鍵字詞,描述內容的字詞。,,語文-國語文,語文-國語文,語文-國語文,,關鍵字詞,kuan-kiān jī-sû
102608,霧,空氣中接近地面的水蒸氣，因遇冷凝結成小水滴或冰晶，而漂浮在地表的一種現象。能見度低於1公里。,,,自然科學-自然科學,自然科學-地球科學,自然科學-地球科學,雺 霧 雺霧,bông bū bông-bū
102609,霧社事件,日治時期霧社泰雅族部落的抗日事件。日人治臺期間，實施「理蕃政策」，高壓歧視部落，部落族人怨憤至深。昭和五年（西元1930年）因日警吉村在婚禮上羞辱頭目之子莫那魯道率領族眾，趁舉行運動會時襲殺日軍、警百餘人。日軍調兵圍剿，莫那魯道負險頑抗，但勢孤力窮而失敗自殺。事至十二月初結束，計五十多天。臺灣光復後，政府立碑供人追思憑弔。,,,社會-社會,社會-歷史,社會-歷史,霧社事件,Bū-siā Sū-kiānn
102610,韻律,1.古代詩詞的平仄格式與押韻規則，亦指西方詩歌的節奏，以音節或音步為單位；一指散文作品中規則的律動。 2.舞蹈時以動作表現音樂的強弱、速度等稱為「韻律」。,,語文-國語文 藝術-藝術,語文-國語文,語文-國語文,語文-國語文,韻律,ūn-lu̍t
102611,韻腳,韻文句末所押的韻。,,,語文-國語文,語文-國語文,語文-國語文,韻跤,ūn-kha
102612,類句,類疊修辭法的一種，將同一個句子間隔重複使用。,,,語文-國語文,,,類句,luī-kù
102613,類字,類疊修辭法的一種，將同一個字詞間隔重複使用。,,,語文-國語文,,,類字,luī-jī
102614,類疊,修辭學上指同一個字詞語句，重疊反覆使用，或隔離反覆使用。,,語文-國語文,語文-國語文,語文-國語文,,類疊,luī-thia̍p luī-tha̍h
102615,懸浮微粒,懸浮顆粒或稱懸浮微粒、大氣懸浮微粒、顆粒，泛指懸浮在空氣中的固體顆粒或液滴，顆粒微小甚至肉眼難以辨識但仍有尺度的差異。,,,自然科學-自然科學,,自然科學-地球科學,懸浮微粒,hiân-hû-bî-lia̍p
102616,懸問,設問修辭的一種，作者心中真正有疑惑，所以把疑問在文章中提出。,,,語文-國語文,,,懸問 疑問,hiân-būn gî-būn
102617,礦物,一種經自然作用形成的無機物。具有一定的晶體構造，可以用化學式表示的化合物，物理性質相對固定。除了水銀之外，多以固體形態呈現。,,,自然科學-自然科學,自然科學-地球科學,自然科學-地球科學,礦物,khòng-bu̍t
102618,礦物質,含礦物成分的物質。在人體中約有鈣、磷、鐵等二十餘種礦物質，主要功能為構造細胞組織、調節生理機能。,,健康與體育-健康與體育,健康與體育-健康與體育,健康與體育-健康教育,,礦物質,khòng-bu̍t-tsit
102619,競爭力,相互競爭的能力。在市場上與同業競爭所表現之優勢力量。,,社會-社會,社會-社會,社會-地理 社會-歷史,社會-歷史,競爭力,kīng-tsing-li̍k kìng-tsing-li̍k
102620,籃球,一種球類運動。由美國人詹姆斯‧奈史密斯於西元1891年發明。因早期將球投於桃籃而稱「籃球」。並吸收橄欖球、足球、曲棍球和其他戶外球類運動規則，制定13條簡則。西元1893年成立國際業餘籃球會後，成為奧運正式比賽項目。西元1976年納入女子奧運正式比賽項目。,,綜合活動-綜合活動 健康與體育-健康與體育,綜合活動-綜合活動 健康與體育-健康與體育,健康與體育-體育,,籃球,nâ-kiû
102621,觸角,昆蟲、節足或軟體動物的感覺器官。生於頭部兩側、複眼近旁的觸角窩內，具有觸覺、嗅覺、及聽覺的機能，有絲狀、鞭狀、羽狀等等。如蝦、蟹的鬚，蝸牛、田螺頭部上的軟角。也稱為「觸鬚」。,,自然科學-自然科學,,自然科學-生物,,觸角,tshiok-kak
102622,觸電,動物的軀體接觸電流。所受的傷害，依電流強度和時間長短而有所不同，輕者感受到震擊，重者立即昏迷或死亡。,,自然科學-自然科學,自然科學-自然科學,自然科學-理化,,電著,tiān--tio̍h
102623,觸覺,皮膚輕觸外物所產生的感覺。,,藝術-藝術 自然科學-自然科學,,,,觸覺,tshiok-kak
102624,譬喻,一種借彼喻此的修辭法。凡二件或二件以上的事物中有類似之點，說話作文時運用有類似點的事物，來比方說明這件事物的方法。可以利用舊經驗引起對新事物的認識。,,語文-國語文,語文-國語文,語文-國語文,語文-國語文,譬喻 比喻 比論,phì-jū pí-jū pí-lūn
102625,譯,將一種語言文字，轉換為另一種語言文字，使人易於瞭解。,,語文-國語文,,語文-國語文,語文-國語文,翻譯,huan-i̍k
102626,譯者,翻譯著作的人。,,,語文-國語文,語文-國語文,語文-國語文,譯者,i̍k-tsiá
102627,議員,代議政治的國家，由人民選出具有合法資格，可代表人民行使政權的人。,,社會-社會,,,社會-公民與社會,議員,gī-uân
102628,議會,由人民代表組成的參政機關。可行使立法權。在內閣制國家中，且負有監督政府的權力。,,社會-社會,社會-社會,,社會-歷史 社會-公民與社會,議會,gī-huē
102629,議論,1.批評討論。 2.見解、說法。,,,語文-國語文,語文-國語文,語文-國語文,議論,gī-lūn
102630,議論文,文體名。旨在論證說明。,,,語文-國語文,語文-國語文,語文-國語文,議論文,gī-lūn-bûn
102631,釋文,注釋文字音義。,,,語文-國語文,,,釋文,sik-bûn
102632,鰓,魚類的呼吸器官。位在頭部的兩頰，用來吸取溶解在水裡的氧氣。,,自然科學-自然科學,,自然科學-生物,,鰓,tshi
102633,屬名,又稱雙名法，依照生物學上對生物種類的命名規則，爾後成為種的學名形式。每個物種學名的由兩個部分構成：屬名和種小名。此指所給定的學名之形式指拉丁詞或希臘詞或拉丁化的其他文字構成。,,,自然科學-自然科學,自然科學-生物,,屬名,sio̍k-miâ
102634,續寫,為一種寫作的基礎練習。就是把沒有寫完的文章或句子接續完成。,,語文-國語文,語文-國語文,,,紲接寫,suà-tsiap-siá
102635,纏足,舊時婦女用布帛緊裹雙足，使之纖小，以為美觀。纏足之風，始於五代，至宋朝大盛，遍及全國。也作「纏腳」。,,,社會-社會,社會-歷史,社會-歷史,縛跤,pa̍k-kha
102636,蘭陽溪,河川名。位於臺灣東北部，源於中央山脈，東流入太平洋。原名「宜蘭濁水溪」，長68公里，是宜蘭縣境內最大的河流。,,,社會-社會,,,蘭陽溪,Lân-iâng-khe Lân-iông-khe
102637,蘭嶼,島名。位於臺東縣東南海面，為臺灣所屬第二大島。面積48平方公里。原名「紅頭嶼」，因盛產蝴蝶蘭，而於民國35年改稱為「蘭嶼」。除沿海平原外，全為崎嶇山地。島嶼周圍多珊瑚礁，居民為雅美族（達悟族），以捕魚為生。是著名的觀光勝地。,,社會-社會,社會-社會,社會-地理,,蘭嶼 紅頭嶼,Lân-sū Âng-thâu-sū
102638,蠟質,表皮蠟質是覆蓋在植物角質層上的一種主要由直鏈脂肪烴和各種取代基構成的物質，可以防止植物表皮被弄濕及水分喪失。,,自然科學-自然科學,,,,蠟質,la̍h-tsit
102639,鐵人三項,一種體育競賽項目。西元1974年發源於美國。參加者必需先游泳1.5公里，再騎自行車40公里，再競跑馬拉松10公里，以所花時間短者為優勝。,,,健康與體育-健康與體育,健康與體育-健康教育,,鐵人三項,thih-lâng sann hāng
102640,鐵片,平薄而呈片狀的鐵。,,自然科學-自然科學,,自然科學-理化,,鐵鉼,thih-phiánn
102641,鐵生鏽,鐵放的時間長了就會生鏽。鐵容易生鏽，除了由於它的化學性質活潑以外，同時與外界條件也有很大關係。水分是使鐵容易生鏽的物質之一。,,,自然科學-自然科學,,,鐵生鉎,thih senn-sian
102642,鐵路,鋪設鐵軌，供火車、電車通行的道路。也稱為「鐵道」。,,社會-社會,社會-社會,社會-地理 社會-歷史,社會-地理 社會-歷史,鐵路 鐵枝路 鐵枝仔路 火車路,thih-lōo thih-ki-lōo thih-ki-á-lōo hué-tshia-lōo
102643,鐵製品,用鐵製成的東西、物件。,,自然科學-自然科學,,自然科學-理化,,鐵製品,thih-tsè-phín
102644,露,靠近地面的水蒸氣，夜間遇冷而凝結成的小水珠。,,,自然科學-自然科學,自然科學-地球科學,自然科學-地球科學,露水,lōo-tsuí
102645,魔方陣,為一數學問題，規則是方陣中每一行、每一列以及對角線三個數字的總和都要相等。,數學-數學,,,,,魔方陣,môo-hong-tīn
102646,鰭,魚類和其他水生脊椎動物的楫狀游泳器官，由刺狀的硬骨或軟骨間所張膜質而成。有調節運動速度、變換游泳方向以及保護身體的作用。,,自然科學-自然科學,,自然科學-生物,,鰭,kî
102647,權利,1.權勢和貨財。 2.人民依法律規定而應享有的利益。,,社會-社會,社會-社會,社會-公民與社會,社會-公民與社會,權利,khuân-lī kuân-lī
102648,歡迎,1.高興某人來而迎接他。 2.誠心希望，樂意接受。,健康與體育-健康與體育,健康與體育-健康與體育,綜合活動-綜合活動,,,歡迎,huan-gîng
102649,歡送詞,用於送別場合發表的短文。,,,語文-國語文,,,歡送詞,huan-sàng-sû
102650,歡唱,快活的歌唱。,,藝術-藝術,,,,歡唱,huan-tshiùnn
102651,疊句,詩詞戲曲文章中，重複使用的句子，稱為「疊句」。,,,語文-國語文,語文-國語文,,疊句,tha̍h-kù
102652,疊字,複詞的一種。由兩個相同的單字，重疊組成的詞語，稱為「疊字」。,,語文-國語文,語文-國語文,語文-國語文,,疊字,tha̍h-jī
102653,聽故事,利用故事的聆聽一種語文學習活動。,語文-國語文,語文-國語文,,,,聽故事,thiann kòo-sū
102654,聽覺,耳中受聲音的刺激，由神經傳於大腦所形成的知覺。,,藝術-藝術,,健康與體育-健康教育,,聽覺,thiann-kak
102655,讀者,閱讀書報雜誌文章的人。,,語文-國語文,語文-國語文,語文-國語文,語文-國語文,讀者,tho̍k-tsiá
102656,讀後心得,在閱讀文章後紀錄心中領會及所得的文體。,語文-國語文,語文-國語文,語文-國語文,,,閱讀心得,ua̍t-tho̍k sim-tik
102657,讀音,字的唸法。,語文-國語文,語文-國語文,語文-國語文,語文-國語文,,讀音,tha̍k-im
102658,讀音,漢字在文言詞裡的唸法。如：追奔逐北的「北」，讀音為ㄅㄛˋ，語音為ㄅㄟˇ。,,,語文-國語文,語文-國語文,,讀音 文讀 文音,tho̍k-im bûn-tho̍k bûn-im
102659,讀書報告,指有系統的研讀、統整，並書寫與主題有關的內容，目的是深入探討特定主題。,,,語文-國語文,,,讀冊報告 讀書報告,tha̍k-tsheh pò-kò tha̍k-tsu pò-kò
102660,讀劇,人坐在舞臺上拿著劇本，彼此沒有肢體上的互動，僅用聲音的表現來詮釋劇本演出。,,,藝術-藝術,,,讀劇,tha̍k-kio̍k tha̍k-ki̍k
102661,霾,懸浮於空氣中之煙、塵等微粒聚集形成的昏暗現象。,,,自然科學-自然科學,健康與體育-健康教育 自然科學-地球科學,,霾,bâi
102662,鬚根,植物的根。沒有明顯的主根，只有很多細長鬍鬚狀的根。,,自然科學-自然科學,,自然科學-生物,,鬚根,tshiu-kin
102663,變奏曲,根據某一主題為藍本，運用各種不同方法，陸續變化演奏出之樂曲，主題通過變奏後可得到多方面發揮。如貝多芬的Ｃ小調三十二次變奏曲。,,,藝術-藝術,藝術-音樂,,變奏曲,piàn-tsàu-khik
102664,變溫動物,隨環境溫度之不同而變化體溫之動物，稱為「變溫動物」。如魚類、兩棲類、爬蟲類及所有的無脊椎動物，都是變溫動物。也稱為「冷血動物」。,,自然科學-自然科學,,自然科學-生物,,變溫動物,piàn-un tōng-bu̍t
